name,valueType,valueMax,valueMin,hasChild,multiChild,explanation
-crf,int,0,50,0,0,Select the quality for constant quality mode (from -1 to FLT_MAX) (default -1)
-preset,string,,,1,0,Set profile restrictions (cf. x264 --fullhelp)
-x264-param,dictionary,,,1,1,Override the x264 configuration
-aq-mode,int,-1,3,0,0,"0.none
1.variance: Variance AQ (complexity mask)
2.autovariance: Auto-variance AQ
3.autovariance-biased: Auto-variance AQ with bias to dark scenes"
-me_method,int,-1,4,0,0,"0.dia
1.hex
2.umh
3.esa
4.tesa"
-ssim,bool,,,0,0,Calculate and print SSIM stats. (default auto)
